"","Column49","variable","min","max","index"
"108","YLL","Column12",0.16087582984757,0.627741508391887,12
"109","YLL","Column13",6.47708509389167e-09,0.0365422915487423,13
"110","YLL","Column14",7.73653838341795e-13,0.0562685242810228,14
"111","YLL","Column15",0.364079541542388,0.839045740654927,15
"112","YLL","Column16",2.32626170159694e-12,0.0556567621231172,16
"113","YLL","Column17",1.13949623323476e-08,0.0178245480589411,17
"114","YLL","Column18",1.87311228192623e-07,0.0763308281872921,18
"115","YLL","Column19",2.76258948013541e-12,0.024754603502337,19
"116","YLL","Column20",1.06610617198357e-07,0.133291884684237,20
"117","YLL","Column21",7.25313042362337e-09,0.0844512046084376,21
"118","YLL","Column22",7.4112500886361e-09,0.0416864036390306,22
"119","YLL","Column23",0.350580153675298,0.986739805366357,23
"120","YLL","Column24",0.0130427054903843,0.647195222856724,24
"121","YLL","Column25",9.40952165943847e-07,0.0772393713254873,25
"122","YLL","Column26",8.13901278595124e-10,0.230493042810853,26
"123","YLL","Column27",7.8978234200461e-10,0.301572915161083,27
"124","YLL","Column28",3.44211236916491e-07,0.330133214405148,28
"125","YLL","Column29",0.00491295883001097,0.926072323586672,29
"126","YLL","Column30",4.80778872611693e-12,0.0721652079183783,30
"127","YLL","Column31",4.99970208007718e-09,0.725934116226343,31
"128","YLL","Column32",0.00222066928466131,0.989949131194681,32
"129","YLL","Column33",5.06977404684782e-07,0.231905967521054,33
"130","YLL","Column34",2.3114212940754e-10,0.88629407972168,34
"131","YLL","Column35",2.82189170133075e-08,0.909522676845845,35
"132","YLL","Column36",1.2501603329358e-07,0.916369045826154,36
"133","YLL","Column37",0.000598395565342106,0.999992358679638,37
"134","YLL","Column38",5.14348138104335e-08,0.91678524603976,38
"135","YLL","Column39",4.92255244050686e-09,0.466271378717465,39
"136","YLL","Column40",8.5976840574369e-10,0.750263049053884,40
"137","YLL","Column41",1.52396763976381e-05,0.366373827946697,41
"138","YLL","Column42",1.1716236300268e-06,0.999353921891954,42
"139","YLL","Column43",8.72701698554443e-09,0.93680771622707,43
"140","YLL","Column44",2.41745255352086e-08,0.970858398691555,44
"141","YLL","Column45",1.46328511395793e-05,0.993059900241261,45
"142","YLL","Column46",5.61808584308988e-08,0.979042067010082,46
"143","YLL","Column47",3.9128139159671e-08,0.913272069940657,47
"144","YLL","Column48",6.18998462581578e-07,0.82479532237843,48
